Año,Entidad,Distrito,Puesto,PAN,PRI,PRD,VERDE,PT,MOV. CIU.,NUEVA ALIANZA,MORENA,HUMANISTA,ENC. SOC,INDEP.,ALTERNATIVA,No registrados,Votos nulos
2006,Chihuahua,CHIHUAHUA 1,Senador,83080,55240,15554,0,0,0,8379,0,0,0,0,1828,363,3083
2006,Chihuahua,CUAUHTEMOC,Senador,35150,46965,25833,0,0,0,5726,0,0,0,0,1478,243,3804
2006,Chihuahua,CHIHUAHUA 2,Senador,59408,50766,14450,0,0,0,8049,0,0,0,0,1866,574,3016
2006,Chihuahua,HIDALGO DEL PARRAL,Senador,26281,22925,5492,0,0,0,3047,0,0,0,0,640,126,1599
2006,Nuevo Leon,SANTA CATARINA,Diputado,80383,46392,9301,0,0,0,17713,0,0,0,0,1725,199,3357
2006,Nuevo Leon,APODACA,Diputado,40536,52362,9522,0,0,0,10038,0,0,0,0,1482,207,2457
2006,Nuevo Leon,GRAL. ESCOBEDO,Diputado,72818,51875,13230,0,0,0,10740,0,0,0,0,1975,211,3041
2006,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Diputado,91261,38902,12659,0,0,0,12313,0,0,0,0,1913,384,2792
2006,Nuevo Leon,MONTERREY 1,Diputado,27297,47090,13364,0,0,0,7139,0,0,0,0,1118,308,3318
2006,Nuevo Leon,MONTERREY 2,Diputado,64651,54220,10818,0,0,0,7863,0,0,0,0,1634,153,2898
2006,Nuevo Leon,MONTERREY 3,Diputado,58323,45322,12152,0,0,0,11648,0,0,0,0,1737,221,3563
2006,Nuevo Leon,GUADALUPE 1,Diputado,66644,51755,15176,0,0,0,10906,0,0,0,0,2069,191,3109
2006,Nuevo Leon,LINARES,Diputado,44371,54607,14150,0,0,0,9001,0,0,0,0,6331,128,6027
2006,Nuevo Leon,MONTERREY 4,Diputado,66130,45587,13977,0,0,0,8720,0,0,0,0,1961,168,2736
2006,Nuevo Leon,GUADALUPE 2,Diputado,53919,57200,12614,0,0,0,9961,0,0,0,0,1984,169,3351
2006,Nuevo Leon,CADEREYTA JIMENEZ,Diputado,50636,59686,19942,0,0,0,10030,0,0,0,0,1247,138,4076
2006,Sonora,SAN LUIS RIO COLORADO,Diputado,53665,34935,17979,0,0,0,1874,0,0,0,0,1292,92,2008
2006,Sonora,NOGALES,Diputado,59383,35494,13277,0,0,0,6272,0,0,0,0,926,113,2593
2006,Sonora,HERMOSILLO 1,Diputado,69941,34037,11881,0,0,0,3283,0,0,0,0,1376,108,2083
2006,Sonora,GUAYMAS,Diputado,37647,45128,26172,0,0,0,1407,0,0,0,0,1077,99,2861
2006,Sonora,HERMOSILLO 2,Diputado,58070,43241,10060,0,0,0,7018,0,0,0,0,994,123,2002
2006,Sonora,CAJEME,Diputado,66404,34306,19286,0,0,0,1183,0,0,0,0,927,99,2265
2006,Sonora,NAVOJOA,Diputado,34751,42986,26840,0,0,0,1094,0,0,0,0,614,65,2649
2006,Chihuahua,JUAREZ 1,Diputado,33929,38289,17026,0,0,0,6927,0,0,0,0,2709,252,2490
2006,Chihuahua,JUAREZ 2,Diputado,27606,35602,11530,0,0,0,3387,0,0,0,0,1508,178,2437
2006,Chihuahua,JUAREZ 3,Diputado,63309,32163,16245,0,0,0,6676,0,0,0,0,2920,186,2172
2006,Chihuahua,JUAREZ 4,Diputado,30592,31419,12524,0,0,0,4615,0,0,0,0,1874,211,1986
2006,Chihuahua,DELICIAS,Diputado,56436,53868,13876,0,0,0,6039,0,0,0,0,1393,191,2931
2006,Chihuahua,CHIHUAHUA 1,Diputado,77931,58256,19806,0,0,0,6760,0,0,0,0,1549,356,2999
2006,Chihuahua,CUAUHTEMOC,Diputado,32553,48886,24899,0,0,0,4650,0,0,0,0,1098,131,3599
2006,Chihuahua,CHIHUAHUA 2,Diputado,58461,50643,12424,0,0,0,8406,0,0,0,0,1904,582,3050
2006,Chihuahua,HIDALGO DEL PARRAL,Diputado,25057,24782,5493,0,0,0,2851,0,0,0,0,621,98,1546
2012,Nuevo Leon,SANTA CATARINA,Presidente,84170,45515,34179,0,0,0,4637,0,0,0,0,0,101,2770
2012,Nuevo Leon,APODACA,Presidente,65219,64444,39447,0,0,0,6359,0,0,0,0,0,426,2507
2012,Nuevo Leon,GRAL. ESCOBEDO,Presidente,76284,55973,43451,0,0,0,5548,0,0,0,0,0,450,2957
2012,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Presidente,77010,38981,36674,0,0,0,4822,0,0,0,0,0,62,2548
2012,Nuevo Leon,MONTERREY 1,Presidente,35507,48737,29046,0,0,0,2964,0,0,0,0,0,96,3022
2012,Nuevo Leon,MONTERREY 2,Presidente,69996,39689,32704,0,0,0,3508,0,0,0,0,0,91,2193
2012,Nuevo Leon,MONTERREY 3,Presidente,49741,40649,29715,0,0,0,3028,0,0,0,0,0,48,2200
2012,Nuevo Leon,GUADALUPE 1,Presidente,63717,47345,37141,0,0,0,4994,0,0,0,0,0,72,2536
2012,Nuevo Leon,LINARES,Presidente,52463,81634,28871,0,0,0,11181,0,0,0,0,0,56,5742
2012,Nuevo Leon,MONTERREY 4,Presidente,66269,36112,30763,0,0,0,2596,0,0,0,0,0,77,2146
2012,Nuevo Leon,GUADALUPE 2,Presidente,57705,48061,36493,0,0,0,4952,0,0,0,0,0,78,2950
2012,Nuevo Leon,CADEREYTA JIMENEZ,Presidente,88571,106053,56166,0,0,0,6757,0,0,0,0,0,93,5355
2012,Sonora,SAN LUIS RIO COLORADO,Presidente,51784,62118,24764,0,0,0,2201,0,0,0,0,0,42,3049
2012,Sonora,NOGALES,Presidente,44982,68002,27636,0,0,0,2412,0,0,0,0,0,92,3475
2012,Sonora,HERMOSILLO 1,Presidente,52621,49607,31605,0,0,0,2860,0,0,0,0,0,63,2529
2012,Sonora,GUAYMAS,Presidente,40840,54737,43534,0,0,0,2107,0,0,0,0,0,78,5423
2012,Sonora,HERMOSILLO 2,Presidente,53899,49336,30200,0,0,0,2274,0,0,0,0,0,319,2712
2012,Sonora,CAJEME,Presidente,34541,70747,55511,0,0,0,2118,0,0,0,0,0,111,4654
2012,Sonora,NAVOJOA,Presidente,49076,58486,41502,0,0,0,1473,0,0,0,0,0,36,4330
2012,Chihuahua,JUAREZ 1,Presidente,30324,74139,49942,0,0,0,6549,0,0,0,0,0,291,3409
2012,Chihuahua,JUAREZ 2,Presidente,17460,39965,23010,0,0,0,3086,0,0,0,0,0,74,2936
2012,Chihuahua,JUAREZ 3,Presidente,36565,46409,41736,0,0,0,5309,0,0,0,0,0,130,2486
2012,Chihuahua,JUAREZ 4,Presidente,18804,39929,28547,0,0,0,3988,0,0,0,0,0,83,2639
2012,Chihuahua,DELICIAS,Presidente,46155,82963,30311,0,0,0,5556,0,0,0,0,0,410,3311
2012,Chihuahua,CHIHUAHUA 1,Presidente,61050,70482,33623,0,0,0,6470,0,0,0,0,0,117,3683
2012,Chihuahua,CUAUHTEMOC,Presidente,27897,72432,33484,0,0,0,4210,0,0,0,0,0,82,3578
2012,Chihuahua,CHIHUAHUA 2,Presidente,46497,76151,34053,0,0,0,7569,0,0,0,0,0,455,4194
2012,Chihuahua,HIDALGO DEL PARRAL,Presidente,24647,64235,10470,0,0,0,3106,0,0,0,0,0,144,4189
2012,Nuevo Leon,SANTA CATARINA,Senador,78532,49641,20788,4078,0,0,6157,0,0,0,0,0,124,8421
2012,Nuevo Leon,APODACA,Senador,53009,78303,22492,5306,0,0,8300,0,0,0,0,0,545,9540
2012,Nuevo Leon,GRAL. ESCOBEDO,Senador,69430,65924,25788,4150,0,0,7223,0,0,0,0,0,216,9923
2012,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Senador,77105,41541,21569,3698,0,0,7069,0,0,0,0,0,93,7349
2012,Nuevo Leon,MONTERREY 1,Senador,30677,54699,19604,3130,0,0,3806,0,0,0,0,0,450,8457
2012,Nuevo Leon,MONTERREY 2,Senador,64311,44126,20253,2932,0,0,5333,0,0,0,0,0,168,7840
2012,Nuevo Leon,MONTERREY 3,Senador,46191,44178,19447,2489,0,0,5167,0,0,0,0,0,137,7008
2012,Nuevo Leon,GUADALUPE 1,Senador,58039,56699,20631,3509,0,0,7340,0,0,0,0,0,152,8048
2012,Nuevo Leon,LINARES,Senador,44196,78990,18429,2602,0,0,20322,0,0,0,0,0,91,13362
2012,Nuevo Leon,MONTERREY 4,Senador,59943,41481,19482,2760,0,0,4670,0,0,0,0,0,197,7889
2012,Nuevo Leon,GUADALUPE 2,Senador,50743,57897,20360,3674,0,0,7040,0,0,0,0,0,143,8552
2012,Nuevo Leon,CADEREYTA JIMENEZ,Senador,78060,112722,39454,5589,0,0,11867,0,0,0,0,0,500,14169
2012,Sonora,SAN LUIS RIO COLORADO,Senador,59598,47662,19780,2641,0,0,1964,0,0,0,0,0,40,8486
2012,Sonora,NOGALES,Senador,50604,56369,22720,3168,0,0,2164,0,0,0,0,0,118,10333
2012,Sonora,HERMOSILLO 1,Senador,54349,54559,18290,1552,0,0,2324,0,0,0,0,0,107,7173
2012,Sonora,GUAYMAS,Senador,42766,49721,36433,2915,0,0,4236,0,0,0,0,0,166,10198
2012,Sonora,HERMOSILLO 2,Senador,55334,53524,17843,1376,0,0,1550,0,0,0,0,0,126,6934
2012,Sonora,CAJEME,Senador,39344,74066,37025,2200,0,0,2299,0,0,0,0,0,139,11494
2012,Sonora,NAVOJOA,Senador,56163,51292,31324,1627,0,0,2177,0,0,0,0,0,33,10112
2012,Chihuahua,JUAREZ 1,Senador,33309,55088,39109,11508,0,0,8300,0,0,0,0,0,289,15812
2012,Chihuahua,JUAREZ 2,Senador,18462,30729,18575,5071,0,0,3757,0,0,0,0,0,248,9032
2012,Chihuahua,JUAREZ 3,Senador,41684,34757,30940,7063,0,0,6501,0,0,0,0,0,187,9718
2012,Chihuahua,JUAREZ 4,Senador,20880,29873,23310,5860,0,0,4894,0,0,0,0,0,272,9495
2012,Chihuahua,DELICIAS,Senador,51706,69208,20548,5338,0,0,7912,0,0,0,0,0,487,12209
2012,Chihuahua,CHIHUAHUA 1,Senador,64635,56724,20286,6789,0,0,7690,0,0,0,0,0,224,12483
2012,Chihuahua,CUAUHTEMOC,Senador,30707,58373,26244,5825,0,0,5679,0,0,0,0,0,177,12866
2012,Chihuahua,CHIHUAHUA 2,Senador,53133,57617,22385,9098,0,0,9560,0,0,0,0,0,484,14195
2012,Chihuahua,HIDALGO DEL PARRAL,Senador,26031,55819,7032,2595,0,0,4456,0,0,0,0,0,475,10313
2015,Nuevo Leon,SANTA CATARINA,Diputado,68394,26418,2123,6796,2326,26195,6451,3574,7041,2866,0,0,150,4494
2015,Nuevo Leon,APODACA,Diputado,48571,52837,3159,10134,3584,23778,6754,4687,4769,4587,0,0,415,5148
2015,Nuevo Leon,GRAL. ESCOBEDO,Diputado,56820,51585,3488,9592,4684,28412,6155,5463,5835,5980,0,0,176,4486
2015,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Diputado,72602,21489,1809,6536,2407,18430,4683,3954,3561,4668,0,0,58,3118
2015,Nuevo Leon,MONTERREY 1,Diputado,20088,36901,1509,5036,10649,8822,3168,2244,2724,6889,0,0,79,3254
2015,Nuevo Leon,MONTERREY 2,Diputado,51033,29090,2304,5578,5476,26970,5103,4205,4758,5430,0,0,104,4036
2015,Nuevo Leon,MONTERREY 3,Diputado,34712,32877,2010,4980,4046,15493,3457,3507,3233,4141,0,0,48,3412
2015,Nuevo Leon,GUADALUPE 1,Diputado,44034,38114,1766,6574,1805,13238,3976,3185,2158,2987,12766,0,160,3119
2015,Nuevo Leon,LINARES,Diputado,56358,72176,1296,4193,5806,5165,15189,1956,3332,3505,0,0,119,6881
2015,Nuevo Leon,MONTERREY 4,Diputado,48086,24935,1831,5598,3280,23226,4404,5079,3724,3744,0,0,76,3451
2015,Nuevo Leon,GUADALUPE 2,Diputado,50490,37669,2074,6151,2336,17771,5829,4290,3811,4655,0,0,131,3611
2015,Nuevo Leon,CADEREYTA JIMENEZ,Diputado,72569,85433,13123,21396,5504,16837,13106,5343,7827,22039,0,0,338,7180
2015,Sonora,SAN LUIS RIO COLORADO,Diputado,46017,38673,3413,3076,1297,2740,2309,6028,784,2750,0,0,47,2787
