Año,Entidad,Distrito,Puesto,PAN,PRI,PRD,VERDE,PT,MOV. CIU.,NUEVA ALIANZA,MORENA,HUMANISTA,ENC. SOC,INDEP.,ALTERNATIVA,No registrados,Votos nulos,,,Total Votos,,,,,,,,,
2012,Nuevo Leon,GUADALUPE 2,Presidente,57705,48061,36493,0,0,0,4952,0,0,0,0,0,78,2950,,,150239,,,,,,,,,
2012,Nuevo Leon,CADEREYTA JIMENEZ,Presidente,88571,106053,56166,0,0,0,6757,0,0,0,0,0,93,5355,,,262995,,,,,,,,,
2012,Sonora,SAN LUIS RIO COLORADO,Presidente,51784,62118,24764,0,0,0,2201,0,0,0,0,0,42,3049,,,143958,,,,,,,,,
2012,Sonora,NOGALES,Presidente,44982,68002,27636,0,0,0,2412,0,0,0,0,0,92,3475,,,146599,,,,,,,,,
2012,Sonora,HERMOSILLO 1,Presidente,52621,49607,31605,0,0,0,2860,0,0,0,0,0,63,2529,,,139285,,,,,,,,,
2012,Sonora,GUAYMAS,Presidente,40840,54737,43534,0,0,0,2107,0,0,0,0,0,78,5423,,,146719,,,,,,,,,
2012,Sonora,HERMOSILLO 2,Presidente,53899,49336,30200,0,0,0,2274,0,0,0,0,0,319,2712,,,138740,,,,,,,,,
2012,Sonora,CAJEME,Presidente,34541,70747,55511,0,0,0,2118,0,0,0,0,0,111,4654,,,167682,,,,,,,,,
2012,Sonora,NAVOJOA,Presidente,49076,58486,41502,0,0,0,1473,0,0,0,0,0,36,4330,,,154903,,,,,,,,,
2012,Chihuahua,JUAREZ 1,Presidente,30324,74139,49942,0,0,0,6549,0,0,0,0,0,291,3409,,,164654,,,,,,,,,
2012,Chihuahua,JUAREZ 2,Presidente,17460,39965,23010,0,0,0,3086,0,0,0,0,0,74,2936,,,86531,,,,,,,,,
2012,Chihuahua,JUAREZ 3,Presidente,36565,46409,41736,0,0,0,5309,0,0,0,0,0,130,2486,,,132635,,,,,,,,,
2012,Chihuahua,JUAREZ 4,Presidente,18804,39929,28547,0,0,0,3988,0,0,0,0,0,83,2639,,,93990,,,,,,,,,
2012,Chihuahua,DELICIAS,Presidente,46155,82963,30311,0,0,0,5556,0,0,0,0,0,410,3311,,,168706,,,,,,,,,
2012,Chihuahua,CHIHUAHUA 1,Presidente,61050,70482,33623,0,0,0,6470,0,0,0,0,0,117,3683,,,175425,,,,,,,,,
2012,Chihuahua,CUAUHTEMOC,Presidente,27897,72432,33484,0,0,0,4210,0,0,0,0,0,82,3578,,,141683,,,,,,,,,
2012,Chihuahua,CHIHUAHUA 2,Presidente,46497,76151,34053,0,0,0,7569,0,0,0,0,0,455,4194,,,168919,,,,,,,,,
2012,Chihuahua,HIDALGO DEL PARRAL,Presidente,24647,64235,10470,0,0,0,3106,0,0,0,0,0,144,4189,,,106791,,,,,,,,,
2012,Nuevo Leon,SANTA CATARINA,Senador,78532,49641,20788,4078,0,0,6157,0,0,0,0,0,124,8421,,,167741,,,,,,,,,
2012,Nuevo Leon,APODACA,Senador,53009,78303,22492,5306,0,0,8300,0,0,0,0,0,545,9540,,,177495,,,,,,,,,
2012,Nuevo Leon,GRAL. ESCOBEDO,Senador,69430,65924,25788,4150,0,0,7223,0,0,0,0,0,216,9923,,,182654,,,,,,,,,
2012,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Senador,77105,41541,21569,3698,0,0,7069,0,0,0,0,0,93,7349,,,158424,,,,,,,,,
2012,Nuevo Leon,MONTERREY 1,Senador,30677,54699,19604,3130,0,0,3806,0,0,0,0,0,450,8457,,,120823,,,,,,,,,
2012,Nuevo Leon,MONTERREY 2,Senador,64311,44126,20253,2932,0,0,5333,0,0,0,0,0,168,7840,,,144963,,,,,,,,,
2012,Nuevo Leon,MONTERREY 3,Senador,46191,44178,19447,2489,0,0,5167,0,0,0,0,0,137,7008,,,124617,,,,,,,,,
